Restaurant,Latitude,Longitude
Dakasi Milktea - Shore 2 [Available for LONG-DISTANCE DELIVERY],14.5423731,120.98624833333334
Pretzelmaker - MOA Complex,14.5340926,120.9806548
King Sisig - Metropoint Mall [Available for LONG-DISTANCE DELIVERY],14.5381225,121.00112640000002
Seattle's Best Coffee - SM MOA [Available for LONG-DISTANCE DELIVERY],14.537127466666668,120.98034450000002
Infinitea - Double Dragon Plaza [Available for LONG-DISTANCE DELIVERY],14.536029300000001,120.9900964
Tempura Japanese Grill - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.536239499999999,120.98142198000001
MiPanda Milk Tea Hub - Puregold Libertad,14.547127852546069,120.99891999851383
Chooks To Go - Victory Food Market,14.5322614,120.9945967
Capitol Harlem - Arnaiz Avenue,14.548074233266192,120.99906854232603
Chachago - PITX [Available for LONG-DISTANCE DELIVERY],14.5088157,120.99081550175438
390 Degrees - Aseana City [Available for LONG-DISTANCE DELIVERY],14.52626005,120.9913286
Zagu - V & M Superette Baclaran,14.52877996,120.9972997
Ben's Cookies - SM Mall of Asia,14.534745742857144,120.9817716
Pepi Cubano - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5363671,120.98030093
Tsitsachicha Foodzone Unlimited - Bangkal,14.54051731879467,121.01297854232877
Coldstone Creamery - Mall Of Asia [Available for LONG-DISTANCE DELIVERY],14.535822179999998,120.9826187
Marriott Cafe - Marriott Hotel [Available for LONG-DISTANCE DELIVERY],14.520573333333335,121.018251
Tabla by Selah Garden - Park Avenue [Available for LONG-DISTANCE DELIVERY],14.5402043,120.998052
SweetTea - Bangkal Makati,14.54622577395726,121.01019927116033
R&B Milk Tea - Aseana (Shakey's),14.521391,120.990733
De Original Jamaican Pattie Shop - PITX,14.5094086,120.9909822
The Restaurants - Okada Manila [Available for LONG-DISTANCE DELIVERY],14.5135898,120.97850025
Yomie's Rice X Yogurt - Newport,14.5241717,121.0129306
Shou Hand-Pulled Noodles - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.522878,120.990206
Tea Melody - F.B Harrison Street,14.5445554,120.9943051
Fiery Style - Ayala Malls Manila Bay,14.523104428571429,120.9874815
Marriott Hotel - Man Ho [Available for LONG-DISTANCE DELIVERY],14.5211267,121.0180158
Lil' Orbits Mini Donuts - Ayala Malls Manila Bay,14.5224622,120.9888435
Bibingkinitan - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5362881,120.9818615
Plato Wraps - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5357537,120.9803639
Mister Donut - PITX,14.50994703,120.9909879
Lugaw Republic - YSL Building Leveriza,14.5507389,120.9953164
Romantic Korean Hotdog - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5357948,120.9789071
Apartment 1B - Henry Hotel Manila,14.54103,120.99599
ChaGuan House of Tea - Taft,14.539316918013114,121.00093927116028
Mercato Centrale - SM by the Bay,14.53716408,120.9800229
Juice Cubi - MOA,14.53097499090909,120.98134366666666
Teresa's Pasalubong - Gaitos Street,14.5404184,121.0009527
Gensan Tuna Panga - One Metropolitan Place,14.533656307692308,121.00867166666669
Sisig Supremo - Arnaiz Avenue,14.53544,121.0078841
Super Bagnet - Malibay,14.53420694,121.0091287
Kopan Restaurant - Barangay 76,14.54225,120.985047
Karaf Coffee - P. Zamora St. Pasay,14.542893080682944,121.00144781349051
Western Yam Yam - NAIA [Available for LONG-DISTANCE DELIVERY],14.5034804,120.9993992
MWilliams Diner - Villamor Pasay,14.524375375,121.0147749
Boodle Inasal x Happy Thirstday - Villamor [Available for LONG-DISTANCE DELIVERY],14.5264842,121.0145518
Happy Chai - Andrews Avenue,14.525912,121.0152448
Taftea Blends Station - Pasay,14.54352,121.002741
Tabhie's Kitchen - Malibay,14.536229384441,121.0112623556498
Dunkin' - NAIA,14.527283,120.9975468
Tatay Niks - Park Ave,14.5464586,120.9965168
Milky Tempteation Cafe - Wellcome Plaza Mall,14.5472323,120.99890512857144
Tip-Top Smoothies Station - Quirino Avenue,14.499526666666668,120.99113194
Sinangag Club - Capinpin [Available for LONG-DISTANCE DELIVERY],14.541335363636364,121.010485
Ochakudasai Tea Shop - PC Santos Street,14.5443525,121.0064545
Go Grab - Tramo St,14.54649,121.00252
Love Wingz! - Tramo St.,14.54649,121.00252
Jiang Nan Hotpot and Seafood Restaurant - Diosdado Macapagal Boulevard [Available for LONG-DISTANCE DELIVERY],14.548468,120.987044
Lezerliebitz Cakes and Pastries House - Silva,14.546316543751942,121.00451927116131
Yvan Navy - Bangkal Makati,14.5410077,121.0116837
Lola Fely's - Rodriguez,14.5448125,121.0083125
Jstalk Milktea - Bangkal,14.541897304102704,121.01173562697907
FNI Bistro - Buendia,14.5501088,120.9928159
Rafael's Tapas Bar and Restaurant - Newport Mall,14.5194915,121.01905490952382
Hard Rock Cafe - S Maison,14.532337,120.980346275
Sushi Basket - Santan Street [Available for LONG-DISTANCE DELIVERY],14.510793,121.004638
IE-KEI Ramen Yokohama Shoten - Okada Manila,14.515699364081485,120.98135755371686
Pavarotti Food Station - Okada,14.51566331,120.9812928
Little Bliss Milktea - Diosdado Macapagal Avenue,14.531098,120.980575
Royal Indian Curry House - SM Mall of Asia,14.53162241,120.9799833
Juan's Bistro - SM Mall of Asia,14.5340821,120.9820201
Cuckoo - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5340431,120.98120575
Michelle's Homemade Putong Ube - Mall of Asia,14.535011488541668,120.98141393333331
Liezl's La Paz Batchoy & Kansi - PITX,14.5091152,120.9904702
BreadTalk - Mall of Asia,14.535674239680503,120.98274000000146
Juice Co. - SM Mall of Asia,14.535530770859369,120.98253198280356
Three Guys and a Grill - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5362283,120.9825178
Cobo - North Wing Arcade [Available for LONG-DISTANCE DELIVERY],14.5362825,120.9820645
Bo's Coffee Daily - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5339898,120.9797968
Sizzlin' Steak - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5362339,120.9821925
The Pad By Padi's Point - By The Bay Mall of Asia,14.5336267,120.97923833333334
Migs Philly Steak - SM Mall Of Asia Bldg,14.53660518,120.9822332
Gorae Hotdog - SM Mall of Asia,14.53517308358562,120.98021000000074
Islands Juice - SM Mall of Asia,14.53567964,120.98085655
The Citrus Farm - SM Mall of Asia,14.5356802,120.980816875
"Shi Shi Noodle House, Inc - SM Mall of Asia",14.5372994,120.982655
HongKong MX Bakery - SM Mall of Asia,14.53613299,120.9809678
OtakaTea Milktea - Aurora Boulevard,14.536132329290584,121.00347899732436
Cofitearia Milk Tea & Coffee House - Aurora Boulevard [Available for LONG-DISTANCE DELIVERY],14.53638,121.00318
88 Degrees Milktea House - Pilapil Street,14.5381363,121.000678
Elephant Express - Pascor Drive,14.508378453187191,120.99805781348896
Meat Plus Cafe - SM Mall of Asia,14.535367,120.979874
Lucky Cup - Metropark,14.54048475,120.991684675
Quarantea Sa Ilaya Milktea Station - Paranaque [Available for LONG-DISTANCE DELIVERY],14.5078184,120.9972055
Cabalen - SM Mall of Asia,14.535959,120.979747
Eats Jedidiah - Pasay,14.5521042,120.999934
Mango Avocado Temptations - Maceda [Available for LONG DISTANCE DELIVERY],14.520525,121.018479
Black Pearl - Ayala Malls Manila Bay,14.52275213,120.9896931
It's Just Wings - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.52458027,120.9892142
F Crafted Tea - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5224536,120.9888062
Lucky Dragon Pearl Milk Tea - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5227245,120.9892609
Samgyup Saranghae BBQ & Grill - Village Green,14.5289826,120.9920991
Yogorino - Ayala Bay Mall [Available for LONG-DISTANCE DELIVERY],14.5230829,120.9894198
TuanTuan Kitchen - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5223774,120.98824102857142
Paper Moon Cafe - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.52240341,120.9886314
Betterdays - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5233759,120.9893636
am.pm - Ayala Malls Manila Bay,14.5231313,120.98744518
Mango Tree Cafe - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.523141666666668,120.98776317201556
Shi Lin - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5226691,120.9888356
Master Pares - Quirino Avenue [Available for LONG-DISTANCE DELIVERY],14.5279758,120.9971847
Fat Fook Taiwanese Kitchen - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5230711,120.9876965
Suki Ya - Ayala Malls Manila Bay,14.5231957,120.9878299
Yukrev Bites - Baclaran,14.52859313,120.9945625
Lucky Belly Noodle House - Aseana Powerstation [Available for LONG-DISTANCE DELIVERY],14.529524,120.98906205
Happy Jinju - Salem Complex,14.523487684037022,120.99991854232768
Samgyupkart - Baclaran,14.530452314017523,120.99641000000032
El Bander Unli Wings - Salem International Complex [Available for LONG-DISTANCE DELIVERY],14.523441929992956,121.00019364418095
Kusinath - Baclaran [Available for LONG-DISTANCE DELIVERY],14.529201430539745,120.99870779888192
Bo's Coffee - Salem Complex [Available for LONG-DISTANCE DELIVERY],14.5232423,121.0007268
Yokocho - Victory Food Market,14.5322053,120.9944727
Coffee Project - Scape Building,14.53315902162162,120.9889561
Lava Pearl - Pasay,14.5478679,120.9989574
Kuya J's Restaurant - Baclaran [Available for LONG-DISTANCE DELIVERY],14.53512467894737,120.99330795
Breaktime - Maceda [Available for LONG-DISTANCE DELIVERY],14.520525,121.018479
Seashine Ramen - Mayuga Street,14.515623,120.999368
Yamato - Bluebay [Available for LONG-DISTANCE DELIVERY],14.537029,120.989095
Kahatea - Pasay [Available for LONG DISTANCE DELIVERY],14.54961577156277,120.9980678134948
Milli Tea - Phoenix [Available for LONG-DISTANCE DELIVERY],14.535622237818174,120.9873602366859
Hungry Tatay - Bangkal,14.54501537,121.0122823
Mila's Lechon - Buendia,14.55389538396949,120.99650999999848
N Cafe & Bistro - Fairway Terraces,14.52513081,121.0239145
RBX Rice in A Box - Puregold Paranaque [Available for LONG-DISTANCE DELIVERY],14.5010987,120.99727378909093
Wings Mines - A Luna Pasay,14.5497748,120.9978012
Nestlie's Lutong Bahay - Dian Street [Available for LONG-DISTANCE DELIVERY],14.554418333333334,121.00441166666666
Marqueen Food Express - Tolentino Street,14.54607659,121.0063114
Sorsogon Farm2Plates - PITX,14.510753865954923,120.99123708465385
Unocha - Shell Residences,14.537085009676318,120.9864185423263
Kenshin Japanese Izakaya Restaurant - Ayala Malls,14.5233759,120.9893636
Miam Miam Thai Chicken - Aleanza Institute of Arts,14.540966162844867,121.01927854232872
Easy Peasy - Sofitel Philippine Plaza Manila [Available for LONG-DISTANCE DELIVERY],14.553846538907097,120.98015999999792
Tako Tako Queen - Arnaiz Avenue,14.5483431,121.0035015
Mectea - Don Carlos Revilla,14.53618617,121.0016478
Sisig Station - Wellcome Plaza,14.54721539,120.9989307
Qualitea Milktea - Cartimar Pasay,14.549959039912949,120.99767854232783
Goto Pilipinas - SM Mall of Asia,14.536684030474603,120.98220021178857
Saint Joe's Bagnet - Protacio Street,14.543175087023483,121.00637316526009
Pizzadidi - Buendia [Available for LONG-DISTANCE DELIVERY],14.55444131,120.997437
El Burrito Mexican Snacks - Alphaland Southgate Mall [Available for LONG-DISTANCE DELIVERY],14.5408455,121.01903699999998
Jhudd & Jhade Korean Street Food - BGC [Available for LONG-DISTANCE DELIVERY],14.525457706359807,121.02639904470225
The Roadhouse - SM By the Bay,14.535140000000126,120.97931239021052
Somerset Home-Baked Goodies - Makati,14.545706159279264,121.01381781349328
Daniel's Steakhouse - Parañaque,14.507786574517098,120.98403854232612
"Fruity Lemons - Villamor, Pasay",14.525326946439492,121.0126492711634
Mangan - Ayala Manila Bay,14.5231041,120.9891559
Chayang - Mall of Asia,14.53712747,120.9803445
Mr. Chaixi - Mall of Asia,14.53712747,120.9803445
TeaMi (茶予) - South Gate Mall [Available for LONG-DISTANCE DELIVERY],14.5408847,121.01905727058823
Celebration Cakes by Mary Grace - MAAX [Available for LONG-DISTANCE DELIVERY],14.531359,120.9839671
Lutong Smart Basket - Santan,14.510837,121.005059
Any How - Santan Street,14.510837,121.005059
Tiger Sugar - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.53406276,120.9827653875
The Coffee Bean & Tea Leaf - W Mall,14.5321371,120.98909582857144
Mesa - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.523415133333334,120.9893791
Highlands Coffee - Double Dragon Plaza [Available for LONG-DISTANCE DELIVERY],14.5364828,120.9913709
Katherine's Cafe - Ayala Manila Bay,14.5230829,120.9894198
Sbarro - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5360666,120.9824779
TGI Fridays - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5361783,120.9800662
Gerry's Grill Restaurant & Bar - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5360238,120.97995
Martabak Cafe Indo Malay Food - SM Mall of Asia,14.53525407,120.9830464
Lots'A Pizza - Super 8 Baclaran [Available for LONG-DISTANCE DELIVERY],14.5302057,120.9970124
Baked By Mary Grace - Baymall Kiosk [Available for LONG-DISTANCE DELIVERY],14.522796176506958,120.9896399999966
Famous Amos - SM Mall Of Asia [Available for LONG-DISTANCE DELIVERY],14.5324005,120.9805201
Hightea - Salem Complex [Available for LONG-DISTANCE DELIVERY],14.52338745,121.0006808
Kumori - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5349119,120.9811754
Zubuchon - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.53624826,120.98286888490566
Baliwag Lechon Manok - Seaside Paranaque [Available for LONG-DISTANCE DELIVERY],14.516800875,120.9961692
True Boss - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5345565,120.9804623
Red Ribbon - Victory Food Market Baclaran,14.5322614,120.9945967
Razon's of Guagua - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.534128866666666,120.9814772142857
Alba Restaurante Espanol - Prism Plaza [Available for LONG-DISTANCE DELIVERY],14.539391,120.9818346
BG Takoyummy - Tramo [Available for LONG-DISTANCE DELIVERY],14.535914229561012,121.0016841997776
Farinas Ilocos Empanada - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.52245978,120.9888405
Chickings Restaurant - Ayala Malls Manila Bay,14.523039835000002,120.9870248625
Bulalo World - Metropoint Mall [Available for LONG-DISTANCE DELIVERY],14.53812413,121.00121428
Yabu: House of Katsu - SM Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.535988860000002,120.9816135
SaladStop! - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.5349315,120.9810691
Rita's Pancit Ng Taga Malabon Est. 1965 - Mall of Asia [Available for LONG-DISTANCE DELIVERY],14.53401407142857,120.9817368
Italianni's Restaurant - Conrad Mall [Available for LONG-DISTANCE DELIVERY],14.5323053,120.9804268
Nathan's Famous - Met Live Mall [Available for LONG-DISTANCE DELIVERY],14.53680701,120.9885295
Kabayan Hotel Pasay - P. Zamora St. [Available for LONG-DISTANCE DELIVERY],14.538366,121.000832
Buffalo Wild Wings - Conrad Hotel [Available for LONG-DISTANCE DELIVERY],14.5328161,120.9803269
Lola Cafe - S Maison [Available for LONG-DISTANCE DELIVERY],14.531712914285714,120.980468
Bay City Cafe - Citadines Bay City [Available for LONG-DISTANCE DELIVERY],14.5318704,120.9883533
Mr. Liempo - Don Galo Paranaque,14.50472193438486,120.9936707288378
Kenny Rogers Roasters - Ayala Malls Manila Bay [Available for LONG-DISTANCE DELIVERY],14.5233917,120.98878764386862
Outback Steakhouse - Blue Bay,14.5373302,120.9902167
